"","GLDS-6_array_Rnor_SDR_keratinocytes_CTRL_Rep1_GSM144733_raw1.CEL.gz","GLDS-6_array_Rnor_SDR_keratinocytes_CTRL_Rep2_GSM144734_raw.CEL.gz","GLDS-6_array_Rnor_SDR_keratinocytes_CTRL_Rep3_GSM144735_raw.CEL.gz","GLDS-6_array_Rnor_SDR_keratinocytes_IR_56Fe_Rep1_GSM144736_raw.CEL.gz","GLDS-6_array_Rnor_SDR_keratinocytes_IR_56Fe_Rep2_GSM144737_raw.CEL.gz","GLDS-6_array_Rnor_SDR_keratinocytes_IR_56Fe_Rep3_GSM144738_raw.CEL.gz"
"1383499_at",6.57219514450083,6.549317105716,6.49192540090588,6.59404639505952,6.60515369440866,6.29044348671533
"1383500_at",7.73927242602139,7.64594617669939,7.49397635833394,7.74686361105247,7.6799540237257,7.54295128018223
"1383501_at",5.89386368648211,5.62860500503438,5.7826645838374,6.17380583008,5.95176346555852,5.8946971560655
"1383502_at",7.24259966697516,7.22867507795992,6.8504277190272,7.7664359582513,7.83133802862816,7.75975174688604
"1383503_at",5.97985030138402,5.87577120088342,5.86701751494753,5.8811678948816,5.69455502371647,5.80983968252404
"1383504_at",6.94771566280924,6.83236872013483,6.49259342950514,6.7334552065788,6.87575147874089,6.85278649423153
"1383505_at",4.53883466831016,4.78311740392863,4.58281840869702,4.85343705876608,4.87380108835291,4.73842569096725
"1383506_at",5.56216688072559,5.57119174936729,5.42891803572525,5.66055635055031,5.94794745926557,5.42786919432357
"1383507_at",4.00106837515573,4.43225434607179,4.26012703226855,4.12582022810647,4.11183753421799,3.91801135651575
"1383508_at",6.66836458995179,6.72088877940649,6.63239046184989,6.66047517793854,6.68847763872429,6.81477615781399
"1383509_at",4.83833217542697,4.97221599550006,4.84976838156642,4.59264140221897,4.97944556098691,4.80562991816348
"1383510_at",7.27731224672454,7.08049768569477,6.97930298081536,7.00425945725284,7.0446923311705,7.04348221963831
"1383511_at",3.29657522706465,3.36897761152688,3.35264065050869,3.32270509760407,3.23268370956629,3.08225026112278
"1383512_at",7.10895850124221,7.24700660674462,7.05828138337505,7.34513717612216,7.35848741801031,7.06543985305821
"1383513_at",3.95666598760703,4.23017331871791,3.95421655382143,4.30321470845389,4.1776666865777,4.12623417615329
"1383514_s_at",6.94519004755291,6.98538071697219,6.63966293692294,6.81716571871212,6.87402835264622,6.90620999847186
"1383515_at",7.38541113139321,7.40038120044287,7.40270900416877,7.38634888585323,7.43471518362917,7.47731547249181
"1383516_at",2.32754638969267,2.24631918414591,2.45673156673726,2.3828659533593,2.33738042711131,2.47798245368945
"1383517_at",12.195356126021,12.0556797546674,12.0269650659616,12.0338243675489,11.9714959568665,12.0273019659893
"1383518_at",3.55747554938434,3.7728141641158,3.84310241849193,3.63499225092782,3.55170708816204,4.09694058911542
"1383519_at",8.56578941761063,8.26387408712955,8.70726012971835,8.28079695936356,8.29411783268156,8.23093166203502
"1383520_at",8.3643070785382,8.44744608740845,8.33404928537397,8.20385399856586,8.342003959475,8.3156312951325
"1383521_at",4.61053892039108,4.24747515430499,4.61217655735805,4.41372187284667,4.14654447914691,4.17018526000987
"1383522_at",5.12098559754377,5.07768815846272,4.98470454604708,5.11587893665839,4.97340292107308,5.04461969802072
"1383523_at",8.90367884175683,8.6961782964066,9.01373116599809,8.97840362276862,8.97471964212532,9.12568821162714
"1383524_at",3.56426381723779,3.70993458082188,3.64721378998334,3.7339833672088,3.67058617940328,3.34452052439731
"1383525_at",3.26907107130759,3.30384025896974,3.20347351143434,3.36686487411635,3.18139341582276,3.31593746720627
"1383526_at",4.29943712340739,3.96176802865628,4.00603860152616,4.22822420422628,3.84114635546576,3.83364704994189
"1383527_at",4.65980039695262,4.5968602619172,4.72654881329041,4.37372085855713,4.57852916484509,4.7447515249903
"1383528_at",7.56305077330457,7.6895599337538,7.56224952318049,7.4900328328971,7.50584732580896,7.52252425629793
"1383529_at",4.73406708438246,4.68123239464887,4.84945150578134,4.7439011218011,4.73631006303625,4.7421086049092
"1383530_at",6.44652742425024,6.34504894956316,6.45266060576622,6.84457772181346,6.7656720036672,6.69373939495991
"1383531_at",6.02695212482372,6.26387908235045,6.05758822457996,5.81331992291131,5.96099112067927,5.93019600587871
"1383532_at",4.16058332978382,4.48067391989069,4.41329719302288,4.38675481374395,4.25498477274751,4.35737665877699
"1383533_at",7.1883025585023,7.24029320945367,7.1644186270332,7.14526609578278,7.26556503696072,7.15615308745171
"1383534_at",6.12857742146346,6.27976406350841,6.14233877695933,6.08651140563812,5.98923374434638,5.75221395795527
"1383535_at",7.55028275538864,7.45707416065658,7.55363226524462,7.53220283224021,7.68144347136969,7.53540651171138
"1383536_at",6.40845346963033,6.18896664173943,5.96294395546797,6.57100687402447,6.68831605767017,6.51692581588797
"1383537_at",6.06207190083224,6.30246153016882,6.0357639653872,6.08372740100658,6.22538458229506,5.93259728434483
"1383538_at",5.60001761945805,5.40803969311784,5.41395647432211,5.38182495752577,5.48252700060929,5.68691402573824
"1383539_at",3.48154722990456,3.53215554420861,3.51067773175336,3.5151915471311,3.53805535771006,3.28225095289311
"1383540_at",6.31588593010722,6.22740225599778,6.31047096369599,6.2929226227721,6.39153077767964,6.18814320499271
"1383541_at",6.34783804369025,6.26236370417615,6.19868071943969,5.96856589970344,6.00719985464831,5.83381203702345
"1383542_at",6.800688476972,6.37761353851486,6.64624520767433,6.77532849268657,6.65018584301707,6.53972222305498
"1383543_at",8.2042996871507,8.2613600534109,8.12587783260039,8.13244516652497,8.20611775969832,8.14982506786252
"1383544_at",7.28691264443459,7.22550326612412,7.30627167701151,7.48392000370827,7.46847228142974,7.29559785449317
"1383545_at",8.07524478249798,7.88106152851223,7.96790718156268,8.07043277362518,8.1961132653658,8.10043016422633
"1383546_at",5.29704112347006,5.29564713869051,5.57612891374624,5.06045031647982,5.40186296660306,5.32799600405473
"1383547_at",6.3780554221512,6.32236377262884,6.47042025128289,6.56169992228939,6.49583767499914,6.17673921761723
"1383548_at",7.8552312124984,7.72089715159092,7.57809485732824,7.47340528793104,7.54103190429806,7.58618370920738
"1383549_at",5.26649168552024,5.15171215073905,5.05749745558955,5.28649978126032,5.48221187144491,5.46839854548877
"1383550_at",2.9112565250929,3.07166747883216,2.97917945907828,2.8761634849423,2.78111205459471,3.26150573350448
